dataset,experiment,subject,trials_per_class,mode,mean_accuracy,std_accuracy
BNCI2014_001,mu_beta_ssl,3,20,mu_beta_ssl_full_finetune,0.8597222222222222,0.0450907863354109
BNCI2014_001,mu_beta_ssl,3,50,mu_beta_ssl_full_finetune,0.8125,0.081814869305684
BNCI2014_001,mu_beta_ssl,4,5,mu_beta_ssl_full_finetune,0.5930555555555557,0.039430748796051
BNCI2014_001,mu_beta_ssl,4,10,mu_beta_ssl_full_finetune,0.6263888888888889,0.0557980817405574
BNCI2014_001,mu_beta_ssl,4,20,mu_beta_ssl_full_finetune,0.6319444444444444,0.0138888888888888
BNCI2014_001,mu_beta_ssl,4,50,mu_beta_ssl_full_finetune,0.673611111111111,0.0761992595796955
BNCI2014_001,mu_beta_ssl,5,5,mu_beta_ssl_full_finetune,0.5166666666666667,0.0293315445582539
BNCI2014_001,mu_beta_ssl,5,10,mu_beta_ssl_full_finetune,0.5194444444444445,0.0422185670932518
BNCI2014_001,mu_beta_ssl,5,20,mu_beta_ssl_full_finetune,0.5430555555555555,0.0160775512538753
BNCI2014_001,mu_beta_ssl,5,50,mu_beta_ssl_full_finetune,0.5680555555555555,0.0424464077498225
BNCI2014_001,mu_beta_ssl,6,5,mu_beta_ssl_full_finetune,0.5583333333333333,0.0863571753150545
BNCI2014_001,mu_beta_ssl,6,10,mu_beta_ssl_full_finetune,0.6,0.0250770417850941
BNCI2014_001,mu_beta_ssl,6,20,mu_beta_ssl_full_finetune,0.6,0.0429434023159453
BNCI2014_001,mu_beta_ssl,6,50,mu_beta_ssl_full_finetune,0.6694444444444445,0.0199343056866768
BNCI2014_001,mu_beta_ssl,7,5,mu_beta_ssl_full_finetune,0.5472222222222222,0.0376283810670668
BNCI2014_001,mu_beta_ssl,7,10,mu_beta_ssl_full_finetune,0.5416666666666667,0.0351364184463153
BNCI2014_001,mu_beta_ssl,7,20,mu_beta_ssl_full_finetune,0.5986111111111111,0.0349713286444838
BNCI2014_001,mu_beta_ssl,7,50,mu_beta_ssl_full_finetune,0.5930555555555556,0.0363772245936355
BNCI2014_001,mu_beta_ssl,8,5,mu_beta_ssl_full_finetune,0.8527777777777779,0.0349713286444837
